                  model  engine  nrGPUs_a100  batchSize_a100  throughput_a100  throughput_tesla       errors_l_a100      errors_l_tesla  Improvement
59549      Mixtral-8x7b  autohf            1               8         0.189473          0.477247                  ok                  ok   -60.298723
59504      Mixtral-8x7b  autohf            1               4         0.117556          0.291902                  ok                  ok   -59.727774
59594      Mixtral-8x7b  autohf            1              16         0.341465          0.822023                  ok                  ok   -58.460348
59639      Mixtral-8x7b  autohf            1              32         0.613831          1.469517                  ok                  ok   -58.229034
59414      Mixtral-8x7b  autohf            1               1         0.041649          0.097225                  ok                  ok   -57.162710
59459      Mixtral-8x7b  autohf            1               2         0.081132          0.179028                  ok                  ok   -54.681986
40830          Gemma-7b  autohf            2               2         1.700750          3.275230                  ok                  ok   -48.072331
40853          Gemma-7b  autohf            2               4         1.798737          3.400348                  ok                  ok   -47.101382
40807          Gemma-7b  autohf            2               1         1.645178          3.065665                  ok                  ok   -46.335363
40876          Gemma-7b  autohf            2               8         1.957063          3.449088                  ok                  ok   -43.258525
10032     Starcoder2-3b  autohf            8               8        72.154336         93.539021                  ok                  ok   -22.861780
37993          Gemma-2b  autohf            2               4         4.187924          5.376459                  ok                  ok   -22.106271
38039          Gemma-2b  autohf            2              16         4.426866          5.572398                  ok                  ok   -20.557261
9987      Starcoder2-3b  autohf            8               4        46.780630         58.826007                  ok                  ok   -20.476278
37970          Gemma-2b  autohf            2               2         4.075964          5.079079                  ok                  ok   -19.749936
37947          Gemma-2b  autohf            2               1         3.876470          4.783952                  ok                  ok   -18.969283
38062          Gemma-2b  autohf            2              32         4.564295          5.556604                  ok  CUDA out of memory   -17.858194
38016          Gemma-2b  autohf            2               8         4.383987          5.240428                  ok                  ok   -16.342950
50707             Phi-2  autohf            8               1        14.405735         16.707401                  ok                  ok   -13.776326
33957   Codellama-7b-hf  autohf            1               8        19.164802         22.142610                  ok  CUDA out of memory   -13.448316
22704         Bloom-7b1  autohf            1               8        21.364794         24.479908                  ok  CUDA out of memory   -12.725189
55924        Mistral-7b  autohf            1              16        17.892157         20.160935                  ok  CUDA out of memory   -11.253339
12509     Starcoder2-7b  autohf            1              32        17.897343         20.026701                  ok  CUDA out of memory   -10.632595
27116  Codellama-13b-hf  autohf            2              16        11.396890         12.132565                  ok  CUDA out of memory    -6.063646
57139        Mistral-7b  autohf            8               1        10.121442         10.626123                  ok                  ok    -4.749436
46835           Phi-1_5  autohf            8               1        27.705627         28.763478                  ok                  ok    -3.677760
50752             Phi-2  autohf            8               2        21.826736         22.256720                  ok                  ok    -1.931932
9942      Starcoder2-3b  autohf            8               2        35.244420         35.817082                  ok                  ok    -1.598851
16299         Bloom-1b7  autohf            4               1        24.351082         24.643557                  ok                  ok    -1.186818
13814     Starcoder2-7b  autohf            8               2        13.752212         13.835804                  ok                  ok    -0.604178
59909      Mixtral-8x7b  autohf            2               1         0.122569          0.123235                  ok                  ok    -0.541050
35352   Codellama-7b-hf  autohf            8               2        14.683770         14.717020                  ok                  ok    -0.225930
23289         Bloom-7b1  autohf            2              32        23.567055         23.411741  CUDA out of memory  CUDA out of memory     0.663406
34542   Codellama-7b-hf  autohf            2              32        17.105469         16.978703                  ok  CUDA out of memory     0.746621
50797             Phi-2  autohf            8               4        29.456411         29.145117                  ok                  ok     1.068083
24099         Bloom-7b1  autohf            8               2        16.141122         15.846117                  ok                  ok     1.861688
57181        Mistral-7b  autohf            8               2        14.068931         13.664691                  ok                  ok     2.958288
60089      Mixtral-8x7b  autohf            2              16         1.020213          0.985655  CUDA out of memory                  ok     3.506104
16344         Bloom-1b7  autohf            4               2        39.165547         37.744793                  ok                  ok     3.764106
61169      Mixtral-8x7b  autohf            8              64        10.252515          9.861975                  ok  CUDA out of memory     3.960059
46925           Phi-1_5  autohf            8               4        59.602586         56.877451                  ok                  ok     4.791240
46880           Phi-1_5  autohf            8               2        46.088204         43.764304                  ok                  ok     5.310034
60044      Mixtral-8x7b  autohf            2               8         0.605485          0.574737                  ok                  ok     5.349936
19687          Bloom-3b  autohf            4               1        19.424967         18.367836                  ok                  ok     5.755336
24054         Bloom-7b1  autohf            8               1        12.562543         11.874139                  ok                  ok     5.797507
59999      Mixtral-8x7b  autohf            2               4         0.381535          0.359731                  ok                  ok     6.061208
35082   Codellama-7b-hf  autohf            4              64        17.223491         16.167895                  ok  CUDA out of memory     6.528965
19957          Bloom-3b  autohf            4              64        37.285092         34.991847                  ok  CUDA out of memory     6.553655
15804         Bloom-1b7  autohf            2               1        27.683103         25.970125                  ok                  ok     6.595952
33912   Codellama-7b-hf  autohf            1               4        19.082442         17.868876                  ok  CUDA out of memory     6.791510
59954      Mixtral-8x7b  autohf            2               2         0.234303          0.218035                  ok                  ok     7.461224
1485    Wizardcoder-15b  autohf            8               1         6.222128          5.782065                  ok                  ok     7.610819
35397   Codellama-7b-hf  autohf            8               4        18.063480         16.718663                  ok                  ok     8.043804
16389         Bloom-1b7  autohf            4               4        53.997097         49.896443                  ok                  ok     8.218328
60989      Mixtral-8x7b  autohf            8               4         7.470654          6.881440                  ok                  ok     8.562360
17019         Bloom-1b7  autohf            8              32        70.215408         64.582824                  ok  CUDA out of memory     8.721489
15534         Bloom-1b7  autohf            1              32        70.935458         64.968006                  ok  CUDA out of memory     9.185217
23559         Bloom-7b1  autohf            4               1        14.155006         12.887071                  ok                  ok     9.838816
60944      Mixtral-8x7b  autohf            8               2         6.094338          5.536328                  ok                  ok    10.079061
24324         Bloom-7b1  autohf            8              64        18.633647         16.897185                  ok  CUDA out of memory    10.276634
12464     Starcoder2-7b  autohf            1              16        19.493215         17.596783                  ok  CUDA out of memory    10.777152
49492             Phi-2  autohf            1              64        25.082585         22.634843  CUDA out of memory  CUDA out of memory    10.814043
9447      Starcoder2-3b  autohf            4               2        48.610210         43.801780                  ok                  ok    10.977706
27971  Codellama-13b-hf  autohf            8               2        10.324301          9.284624                  ok                  ok    11.197837
55840        Mistral-7b  autohf            1               4        17.946048         16.102822                  ok                  ok    11.446600
28061  Codellama-13b-hf  autohf            8               8        11.459237         10.281920                  ok                  ok    11.450360
24189         Bloom-7b1  autohf            8               8        19.884251         17.830818                  ok                  ok    11.516198
13769     Starcoder2-7b  autohf            8               1        12.002670         10.753025                  ok                  ok    11.621332
16794         Bloom-1b7  autohf            8               1        32.779290         29.352345                  ok                  ok    11.675202
23829         Bloom-7b1  autohf            4              64        21.467850         19.189294  CUDA out of memory  CUDA out of memory    11.874102
22659         Bloom-7b1  autohf            1               4        21.772052         19.416155                  ok  CUDA out of memory    12.133693
1575    Wizardcoder-15b  autohf            8               4         7.042426          6.274546                  ok                  ok    12.238017
24144         Bloom-7b1  autohf            8               4        20.119353         17.920853                  ok                  ok    12.267834
