                  model  engine  nrGPUs_a100  batchSize_a100  throughput_a100  throughput_tesla       errors_l_a100      errors_l_tesla  Improvement
46970           Phi-1_5  autohf            8               8        66.664213         59.335821                  ok                  ok    12.350705
27071  Codellama-13b-hf  autohf            2               8        11.651196         10.364556                  ok                  ok    12.413843
56719        Mistral-7b  autohf            4               2        15.964804         14.199026                  ok                  ok    12.435905
28241  Codellama-13b-hf  autohf            8             128         8.731038          7.759383                  ok  CUDA out of memory    12.522318
61034      Mixtral-8x7b  autohf            8               8         9.057930          8.049207                  ok                  ok    12.531952
28106  Codellama-13b-hf  autohf            8              16        11.489342         10.204648                  ok                  ok    12.589301
28016  Codellama-13b-hf  autohf            8               4        11.563231         10.257479                  ok                  ok    12.729754
13319     Starcoder2-7b  autohf            4               2        16.720135         14.819071                  ok                  ok    12.828499
35442   Codellama-7b-hf  autohf            8               8        18.585794         16.472278                  ok                  ok    12.830742
34497   Codellama-7b-hf  autohf            2              16        18.504889         16.369217                  ok                  ok    13.046876
57265        Mistral-7b  autohf            8               8        17.830955         15.767859                  ok                  ok    13.084185
56386        Mistral-7b  autohf            2              16        17.513314         15.478249                  ok                  ok    13.147898
57223        Mistral-7b  autohf            8               4        17.831526         15.749955                  ok                  ok    13.216359
55798        Mistral-7b  autohf            1               2        16.282434         14.374569                  ok                  ok    13.272500
32372  Codellama-34b-hf  autohf            8               4         5.027242          4.436966                  ok                  ok    13.303595
35307   Codellama-7b-hf  autohf            8               1        13.225633         11.658893                  ok                  ok    13.438159
60899      Mixtral-8x7b  autohf            8               1         4.050661          3.568725                  ok                  ok    13.504444
56677        Mistral-7b  autohf            4               1        11.592813         10.206815                  ok                  ok    13.579143
23604         Bloom-7b1  autohf            4               2        18.319233         16.121795                  ok                  ok    13.630229
27026  Codellama-13b-hf  autohf            2               4        11.759972         10.347382                  ok                  ok    13.651665
56260        Mistral-7b  autohf            2               2        16.214521         14.265777                  ok                  ok    13.660269
55882        Mistral-7b  autohf            1               8        18.186967         15.995048                  ok                  ok    13.703733
56344        Mistral-7b  autohf            2               8        18.177094         15.974212                  ok                  ok    13.790243
27566  Codellama-13b-hf  autohf            4               8        11.827773         10.390349                  ok                  ok    13.834226
30448  Codellama-34b-hf  autohf            1               8         0.608048          0.533432                  ok                  ok    13.987957
50212             Phi-2  autohf            4               1        19.532369         17.131260                  ok                  ok    14.015951
34452   Codellama-7b-hf  autohf            2               8        19.089656         16.732278                  ok                  ok    14.088802
9897      Starcoder2-3b  autohf            8               1        21.975378         19.235967                  ok                  ok    14.241089
13859     Starcoder2-7b  autohf            8               4        19.090362         16.680677                  ok                  ok    14.445964
16434         Bloom-1b7  autohf            4               8        63.911541         55.805764                  ok                  ok    14.524981
1620    Wizardcoder-15b  autohf            8               8         6.941788          6.055877                  ok                  ok    14.628952
35487   Codellama-7b-hf  autohf            8              16        18.581537         16.180321                  ok                  ok    14.840351
34902   Codellama-7b-hf  autohf            4               4        19.316456         16.793260                  ok                  ok    15.025051
13904     Starcoder2-7b  autohf            8               8        19.356619         16.825899                  ok                  ok    15.040624
56302        Mistral-7b  autohf            2               4        17.975973         15.613413                  ok                  ok    15.131603
46340           Phi-1_5  autohf            4               1        33.496606         29.085425                  ok                  ok    15.166294
30493  Codellama-34b-hf  autohf            1              16         1.096696          0.952184                  ok                  ok    15.176843
34407   Codellama-7b-hf  autohf            2               4        18.849581         16.361555                  ok                  ok    15.206539
50842             Phi-2  autohf            8               8        36.079381         31.307838                  ok                  ok    15.240729
1530    Wizardcoder-15b  autohf            8               2         7.081358          6.143096                  ok                  ok    15.273440
33867   Codellama-7b-hf  autohf            1               2        17.482838         15.165298                  ok                  ok    15.281865
23694         Bloom-7b1  autohf            4               8        20.760260         18.005812                  ok                  ok    15.297547
57307        Mistral-7b  autohf            8              16        17.672721         15.304415                  ok                  ok    15.474665
23649         Bloom-7b1  autohf            4               4        20.849979         18.050842                  ok                  ok    15.506962
24234         Bloom-7b1  autohf            8              16        20.080469         17.370739                  ok                  ok    15.599395
61079      Mixtral-8x7b  autohf            8              16        10.240531          8.856669                  ok                  ok    15.625088
13274     Starcoder2-7b  autohf            4               1        13.186478         11.400594                  ok                  ok    15.664841
20407          Bloom-3b  autohf            8              32        50.065115         43.191086  CUDA out of memory  CUDA out of memory    15.915390
16884         Bloom-1b7  autohf            8               4        62.417079         53.745263                  ok                  ok    16.135034
56428        Mistral-7b  autohf            2              32        16.614143         14.295665                  ok                  ok    16.218052
49987             Phi-2  autohf            2              64        40.453515         34.713937  CUDA out of memory  CUDA out of memory    16.533930
50527             Phi-2  autohf            4             128        34.028402         29.138072  CUDA out of memory  CUDA out of memory    16.783300
30403  Codellama-34b-hf  autohf            1               4         0.332917          0.284890                  ok                  ok    16.858082
27611  Codellama-13b-hf  autohf            4              16        11.929596         10.202624                  ok                  ok    16.926745
12914     Starcoder2-7b  autohf            2               8        19.809132         16.929229                  ok                  ok    17.011426
54669     Codestral-22b  autohf            8               4         7.011311          5.987254                  ok                  ok    17.103958
18922          Bloom-3b  autohf            1              32        50.608139         43.197974  CUDA out of memory  CUDA out of memory    17.153965
30358  Codellama-34b-hf  autohf            1               2         0.171810          0.146399                  ok                  ok    17.357219
32417  Codellama-34b-hf  autohf            8               8         5.154584          4.384673                  ok                  ok    17.559149
34857   Codellama-7b-hf  autohf            4               2        16.965291         14.430139                  ok                  ok    17.568457
12374     Starcoder2-7b  autohf            1               4        20.171062         17.150273                  ok                  ok    17.613648
15579         Bloom-1b7  autohf            1              64        94.333045         80.194170  CUDA out of memory  CUDA out of memory    17.630801
12419     Starcoder2-7b  autohf            1               8        19.778008         16.811696                  ok                  ok    17.644335
19462          Bloom-3b  autohf            2              64        53.097351         45.132511  CUDA out of memory  CUDA out of memory    17.647677
54579     Codestral-22b  autohf            8               1         4.549103          3.860194                  ok                  ok    17.846490
23199         Bloom-7b1  autohf            2               8        21.280951         18.028187                  ok                  ok    18.042657
27521  Codellama-13b-hf  autohf            4               4        12.126303         10.268601                  ok                  ok    18.091087
23154         Bloom-7b1  autohf            2               4        21.531585         18.215734                  ok                  ok    18.203225
12869     Starcoder2-7b  autohf            2               4        20.257975         17.133244                  ok                  ok    18.237826
34947   Codellama-7b-hf  autohf            4               8        19.827593         16.764370                  ok                  ok    18.272218
23739         Bloom-7b1  autohf            4              16        20.685838         17.482628                  ok                  ok    18.322245
16074         Bloom-1b7  autohf            2              64        82.087717         69.318187  CUDA out of memory  CUDA out of memory    18.421616
56761        Mistral-7b  autohf            4               4        19.043602         16.073340                  ok                  ok    18.479431
15849         Bloom-1b7  autohf            2               2        46.014641         38.823530                  ok                  ok    18.522560
27926  Codellama-13b-hf  autohf            8               1         8.238138          6.950045                  ok                  ok    18.533585
34812   Codellama-7b-hf  autohf            4               1        13.819071         11.657952                  ok                  ok    18.537716
47015           Phi-1_5  autohf            8              16        74.945461         63.223853                  ok                  ok    18.539851
46025           Phi-1_5  autohf            2              16        75.621944         63.745784                  ok                  ok    18.630502
49222             Phi-2  autohf            1               1        19.457847         16.399105                  ok                  ok    18.651884
17064         Bloom-1b7  autohf            8              64        94.537947         79.675886  CUDA out of memory  CUDA out of memory    18.653149
35532   Codellama-7b-hf  autohf            8              32        17.984778         15.157035                  ok                  ok    18.656301
45935           Phi-1_5  autohf            2               4        67.535684         56.899592                  ok                  ok    18.692738
34362   Codellama-7b-hf  autohf            2               2        16.999139         14.313559                  ok                  ok    18.762488
19732          Bloom-3b  autohf            4               2        28.539973         24.011476                  ok                  ok    18.859719
56803        Mistral-7b  autohf            4               8        18.983108         15.969786                  ok                  ok    18.868898
56845        Mistral-7b  autohf            4              16        18.443529         15.513744                  ok                  ok    18.885094
1125    Wizardcoder-15b  autohf            4               8         7.253782          6.087799                  ok                  ok    19.152780
12959     Starcoder2-7b  autohf            2              16        19.289555         16.174423                  ok                  ok    19.259614
50887             Phi-2  autohf            8              16        37.532974         31.465939                  ok                  ok    19.281276
32552  Codellama-34b-hf  autohf            8              64         4.107043          3.440562                  ok                  ok    19.371305
35037   Codellama-7b-hf  autohf            4              32        18.440682         15.413016                  ok                  ok    19.643568
34992   Codellama-7b-hf  autohf            4              16        19.647105         16.414926                  ok                  ok    19.690488
49402             Phi-2  autohf            1              16        11.511970          9.615341                  ok                  ok    19.725036
32507  Codellama-34b-hf  autohf            8              32         4.591527          3.834264                  ok                  ok    19.749881
23109         Bloom-7b1  autohf            2               2        19.795396         16.476994                  ok                  ok    20.139611
28151  Codellama-13b-hf  autohf            8              32        11.026743          9.173487                  ok                  ok    20.202307
20272          Bloom-3b  autohf            8               4        41.159628         34.240983                  ok                  ok    20.205744
20182          Bloom-3b  autohf            8               1        25.333936         21.074827                  ok                  ok    20.209457
12824     Starcoder2-7b  autohf            2               2        18.012100         14.977029                  ok                  ok    20.264838
13949     Starcoder2-7b  autohf            8              16        19.366736         16.101546                  ok                  ok    20.278738
57349        Mistral-7b  autohf            8              32        16.976817         14.112613                  ok                  ok    20.295348
49357             Phi-2  autohf            1               8         6.578391          5.466309                  ok                  ok    20.344306
26981  Codellama-13b-hf  autohf            2               2        11.276896          9.361264                  ok                  ok    20.463398
23244         Bloom-7b1  autohf            2              16        21.036030         17.458417                  ok                  ok    20.492196
12329     Starcoder2-7b  autohf            1               2        18.192684         15.097562                  ok                  ok    20.500808
54354     Codestral-22b  autohf            4              64         6.326554          5.237607                  ok  CUDA out of memory    20.790920
54714     Codestral-22b  autohf            8               8         7.423340          6.141655                  ok                  ok    20.868736
56887        Mistral-7b  autohf            4              32        17.339452         14.339498                  ok                  ok    20.920914
16479         Bloom-1b7  autohf            4              16        67.257953         55.587526                  ok                  ok    20.994686
46475           Phi-1_5  autohf            4               8        74.341741         61.362109                  ok                  ok    21.152520
56218        Mistral-7b  autohf            2               1        13.950752         11.513273                  ok                  ok    21.171028
1170    Wizardcoder-15b  autohf            4              16         6.988972          5.760170                  ok                  ok    21.332736
1080    Wizardcoder-15b  autohf            4               4         7.708832          6.337932                  ok                  ok    21.630090
32327  Codellama-34b-hf  autohf            8               2         4.612547          3.790613                  ok                  ok    21.683395
37763          Gemma-2b  autohf            1               8        45.820763         37.636401                  ok                  ok    21.745867
27656  Codellama-13b-hf  autohf            4              32        11.255167          9.243535                  ok                  ok    21.762580
49447             Phi-2  autohf            1              32        16.721850         13.730114                  ok                  ok    21.789593
22614         Bloom-7b1  autohf            1               2        20.113163         16.509506                  ok                  ok    21.827767
13004     Starcoder2-7b  autohf            2              32        17.662237         14.492953                  ok                  ok    21.867758
9492      Starcoder2-3b  autohf            4               4        72.813562         59.726618                  ok                  ok    21.911410
13409     Starcoder2-7b  autohf            4               8        20.604405         16.897981                  ok                  ok    21.934121
15444         Bloom-1b7  autohf            1               8        71.545601         58.666455                  ok                  ok    21.953169
32462  Codellama-34b-hf  autohf            8              16         5.114903          4.190955                  ok                  ok    22.046248
61124      Mixtral-8x7b  autohf            8              32        10.440182          8.546062                  ok                  ok    22.163655
1665    Wizardcoder-15b  autohf            8              16         7.011534          5.735344                  ok                  ok    22.251317
37740          Gemma-2b  autohf            1               4        44.087811         36.056973                  ok                  ok    22.272633
45530           Phi-1_5  autohf            1              16        76.055779         62.148840                  ok                  ok    22.376828
20317          Bloom-3b  autohf            8               8        42.832504         34.924309                  ok                  ok    22.643811
19777          Bloom-3b  autohf            4               4        37.060935         30.214959                  ok                  ok    22.657570
16929         Bloom-1b7  autohf            8               8        68.992426         56.205323                  ok                  ok    22.750697
19822          Bloom-3b  autohf            4               8        41.399535         33.703983                  ok                  ok    22.832769
54894     Codestral-22b  autohf            8             128         5.419773          4.405949                  ok  CUDA out of memory    23.010338
54624     Codestral-22b  autohf            8               2         6.472053          5.255342                  ok                  ok    23.151894
49762             Phi-2  autohf            2               2        31.251208         25.317886                  ok                  ok    23.435298
16974         Bloom-1b7  autohf            8              16        70.636376         57.183815                  ok                  ok    23.525119
45440           Phi-1_5  autohf            1               4        68.593910         55.527971                  ok                  ok    23.530374
45485           Phi-1_5  autohf            1               8        75.446294         61.065694                  ok                  ok    23.549391
55756        Mistral-7b  autohf            1               1        14.265816         11.538380                  ok                  ok    23.637947
15984         Bloom-1b7  autohf            2              16        70.684792         57.108209                  ok                  ok    23.773435
35622   Codellama-7b-hf  autohf            8             128        14.572859         11.754670                  ok  CUDA out of memory    23.975064
13364     Starcoder2-7b  autohf            4               4        20.926320         16.874065                  ok                  ok    24.014691
20227          Bloom-3b  autohf            8               2        35.290969         28.450420                  ok                  ok    24.043756
24279         Bloom-7b1  autohf            8              32        19.713280         15.885453                  ok                  ok    24.096427
49267             Phi-2  autohf            1               2         1.972086          1.589048                  ok                  ok    24.104853
50257             Phi-2  autohf            4               2        27.248560         21.945718                  ok                  ok    24.163447
45980           Phi-1_5  autohf            2               8        74.784912         60.170356                  ok                  ok    24.288631
56470        Mistral-7b  autohf            2              64        15.590930         12.543199                  ok                  ok    24.297878
15939         Bloom-1b7  autohf            2               8        67.740855         54.415246                  ok                  ok    24.488742
1035    Wizardcoder-15b  autohf            4               2         7.897812          6.342652                  ok                  ok    24.519085
13454     Starcoder2-7b  autohf            4              16        20.183142         16.206562                  ok                  ok    24.536853
15354         Bloom-1b7  autohf            1               2        54.813366         43.965623                  ok                  ok    24.673238
16569         Bloom-1b7  autohf            4              64        62.095567         49.778949                  ok  CUDA out of memory    24.742625
49852             Phi-2  autohf            2               8        41.857791         33.518971                  ok                  ok    24.877911
15309         Bloom-1b7  autohf            1               1        37.634639         30.131351                  ok                  ok    24.901928
19867          Bloom-3b  autohf            4              16        42.662001         34.136593                  ok                  ok    24.974396
35577   Codellama-7b-hf  autohf            8              64        16.965919         13.574727                  ok                  ok    24.981660
6599      Starcoder-15b  autohf            8               4        22.802365         18.240026                  ok                  ok    25.012789
27476  Codellama-13b-hf  autohf            4               2        11.616708          9.287895                  ok                  ok    25.073626
12779     Starcoder2-7b  autohf            2               1        15.411514         12.315259                  ok                  ok    25.141608
18697          Bloom-3b  autohf            1               1        27.310865         21.723993                  ok                  ok    25.717520
23784         Bloom-7b1  autohf            4              32        20.017910         15.917259                  ok                  ok    25.762289
12284     Starcoder2-7b  autohf            1               1        15.658028         12.438433                  ok                  ok    25.884242
45575           Phi-1_5  autohf            1              32        74.372539         59.076368                  ok                  ok    25.892199
46070           Phi-1_5  autohf            2              32        74.343958         59.047450                  ok                  ok    25.905451
23064         Bloom-7b1  autohf            2               1        16.177159         12.835763                  ok                  ok    26.031919
50392             Phi-2  autohf            4              16        41.569731         32.954798                  ok                  ok    26.141665
15399         Bloom-1b7  autohf            1               4        66.299444         52.425750                  ok                  ok    26.463510
46430           Phi-1_5  autohf            4               4        65.474692         51.768639                  ok                  ok    26.475590
46520           Phi-1_5  autohf            4              16        78.307141         61.887577                  ok                  ok    26.531276
22569         Bloom-7b1  autohf            1               1        16.841842         13.271000                  ok                  ok    26.907107
54219     Codestral-22b  autohf            4               8         7.864038          6.194730                  ok                  ok    26.947215
18742          Bloom-3b  autohf            1               2        36.934674         29.077712                  ok                  ok    27.020563
32282  Codellama-34b-hf  autohf            8               1         3.700931          2.912156                  ok                  ok    27.085584
34317   Codellama-7b-hf  autohf            2               1        14.762934         11.606587                  ok                  ok    27.194443
15489         Bloom-1b7  autohf            1              16        73.641457         57.863284                  ok                  ok    27.268021
50347             Phi-2  autohf            4               8        40.677159         31.942676                  ok                  ok    27.344240
19372          Bloom-3b  autohf            2              16        43.638691         34.249693                  ok                  ok    27.413379
16524         Bloom-1b7  autohf            4              32        67.480375         52.921796                  ok                  ok    27.509610
33822   Codellama-7b-hf  autohf            1               1        15.679045         12.294831                  ok                  ok    27.525504
28196  Codellama-13b-hf  autohf            8              64        10.662951          8.358193                  ok                  ok    27.574841
57391        Mistral-7b  autohf            8              64        15.874646         12.434323                  ok                  ok    27.667960
56929        Mistral-7b  autohf            4              64        16.123848         12.618736                  ok                  ok    27.777040
15894         Bloom-1b7  autohf            2               4        60.532881         47.319505                  ok                  ok    27.923740
47060           Phi-1_5  autohf            8              32        75.374179         58.852208                  ok                  ok    28.073663
19237          Bloom-3b  autohf            2               2        33.337176         25.998977                  ok                  ok    28.224953
18787          Bloom-3b  autohf            1               4        43.065654         33.584553                  ok                  ok    28.230540
49312             Phi-2  autohf            1               4         3.968352          3.089370                  ok                  ok    28.451803
19912          Bloom-3b  autohf            4              32        41.030701         31.930795                  ok                  ok    28.498839
50932             Phi-2  autohf            8              32        38.409671         29.886515                  ok                  ok    28.518400
16839         Bloom-1b7  autohf            8               2        51.483620         40.058759                  ok                  ok    28.520258
18832          Bloom-3b  autohf            1               8        44.592466         34.586898                  ok                  ok    28.928779
19327          Bloom-3b  autohf            2               8        43.514530         33.687178                  ok                  ok    29.172380
540     Wizardcoder-15b  autohf            2               2         8.060091          6.238798                  ok                  ok    29.193003
19192          Bloom-3b  autohf            2               1        22.053884         17.057682                  ok                  ok    29.290041
45350           Phi-1_5  autohf            1               1        37.022706         28.625915                  ok                  ok    29.332830
19417          Bloom-3b  autohf            2              32        42.416254         32.795051                  ok  CUDA out of memory    29.337362
56971        Mistral-7b  autohf            4             128        13.904169         10.748487                  ok  CUDA out of memory    29.359315
13049     Starcoder2-7b  autohf            2              64        16.443965         12.703442                  ok                  ok    29.444951
13994     Starcoder2-7b  autohf            8              32        18.697834         14.443793                  ok                  ok    29.452376
20362          Bloom-3b  autohf            8              16        44.308405         34.176329                  ok                  ok    29.646473
37786          Gemma-2b  autohf            1              16        44.482807         34.301910                  ok                  ok    29.680264
51022             Phi-2  autohf            8             128        31.572799         24.319784                  ok  CUDA out of memory    29.823518
50437             Phi-2  autohf            4              32        40.561010         31.234715                  ok                  ok    29.858752
54804     Codestral-22b  autohf            8              32         6.768393          5.209278                  ok                  ok    29.929568
30313  Codellama-34b-hf  autohf            1               1         0.087379          0.067226                  ok                  ok    29.977367
57433        Mistral-7b  autohf            8             128        13.762724         10.588167                  ok                  ok    29.982117
46565           Phi-1_5  autohf            4              32        77.261594         59.273325                  ok                  ok    30.348000
54309     Codestral-22b  autohf            4              32         6.857073          5.258372                  ok                  ok    30.402950
19282          Bloom-3b  autohf            2               4        40.463336         31.023216                  ok                  ok    30.429213
49807             Phi-2  autohf            2               4        38.855759         29.759894                  ok                  ok    30.564174
37694          Gemma-2b  autohf            1               1        28.791228         22.044435                  ok                  ok    30.605425
49717             Phi-2  autohf            2               1        21.996517         16.838020                  ok                  ok    30.636006
50302             Phi-2  autohf            4               4        37.209296         28.463875                  ok                  ok    30.724631
990     Wizardcoder-15b  autohf            4               1         7.599416          5.812127                  ok                  ok    30.751024
16029         Bloom-1b7  autohf            2              32        69.700426         53.286660                  ok                  ok    30.802767
54174     Codestral-22b  autohf            4               4         7.881425          6.007199                  ok                  ok    31.199667
49897             Phi-2  autohf            2              16        43.224976         32.868656                  ok                  ok    31.508193
27431  Codellama-13b-hf  autohf            4               1         9.353858          7.096740                  ok                  ok    31.805005
9537      Starcoder2-3b  autohf            4               8       118.125724         89.578470                  ok                  ok    31.868432
13499     Starcoder2-7b  autohf            4              32        19.182885         14.526375                  ok                  ok    32.055552
54759     Codestral-22b  autohf            8              16         7.711510          5.837083                  ok                  ok    32.112391
18877          Bloom-3b  autohf            1              16        45.259463         34.249755                  ok                  ok    32.145364
37717          Gemma-2b  autohf            1               2        37.406314         28.300532                  ok                  ok    32.175303
10077     Starcoder2-3b  autohf            8              16       150.590833        113.769946                  ok                  ok    32.364335
6554      Starcoder-15b  autohf            8               2        18.991250         14.336870                  ok                  ok    32.464413
1800    Wizardcoder-15b  autohf            8             128         5.132700          3.868291                  ok  CUDA out of memory    32.686504
54129     Codestral-22b  autohf            4               2         7.028508          5.292644                  ok                  ok    32.797673
46385           Phi-1_5  autohf            4               2        51.264976         38.329764                  ok                  ok    33.747173
13094     Starcoder2-7b  autohf            2             128        16.230131         12.108460  CUDA out of memory  CUDA out of memory    34.039597
8907      Starcoder2-3b  autohf            2               1        33.393612         24.885346                  ok                  ok    34.189865
46115           Phi-1_5  autohf            2              64        86.021747         64.031803  CUDA out of memory  CUDA out of memory    34.342224
54264     Codestral-22b  autohf            4              16         7.906049          5.874193                  ok                  ok    34.589541
45620           Phi-1_5  autohf            1              64        86.046914         63.908377  CUDA out of memory  CUDA out of memory    34.641057
50482             Phi-2  autohf            4              64        37.190453         27.579030                  ok                  ok    34.850474
49942             Phi-2  autohf            2              32        41.960367         30.904603                  ok                  ok    35.773841
50977             Phi-2  autohf            8              64        35.984627         26.496234                  ok                  ok    35.810347
45890           Phi-1_5  autohf            2               2        53.353025         39.263845                  ok                  ok    35.883340
495     Wizardcoder-15b  autohf            2               1         7.991938          5.853292                  ok                  ok    36.537503
54084     Codestral-22b  autohf            4               1         5.396647          3.948388                  ok                  ok    36.679777
47105           Phi-1_5  autohf            8              64        87.826021         63.977489  CUDA out of memory  CUDA out of memory    37.276444
1710    Wizardcoder-15b  autohf            8              32         6.478016          4.717004                  ok                  ok    37.333260
1260    Wizardcoder-15b  autohf            4              64         6.242157          4.531289                  ok  CUDA out of memory    37.756751
