  Multiple Comparison of Means - Tukey HSD, FWER=0.05  
=======================================================
group1 group2 meandiff p-adj    lower    upper   reject
-------------------------------------------------------
     1      2  49.0198 0.9991 -145.6349 243.6745  False
     1      4 117.7697 0.6664   -76.885 312.4244  False
     1      8 183.2505  0.085  -11.4042 377.9052  False
     1     16 245.5028 0.0029   50.8481 440.1575   True
     1     32 290.5731 0.0001   95.9184 485.2278   True
     1     64 318.0764    0.0  123.4217 512.7311   True
     1    128 328.2607    0.0   133.606 522.9154   True
     1    256 331.7967    0.0   137.142 526.4514   True
     1    512  334.184    0.0  139.5293 528.8387   True
     1   1028 330.6042    0.0  135.9495 525.2589   True
     2      4  68.7499 0.9864 -125.9048 263.4046  False
     2      8 134.2307 0.4725   -60.424 328.8854  False
     2     16  196.483 0.0457    1.8283 391.1377   True
     2     32 241.5533 0.0037   46.8986  436.208   True
     2     64 269.0567 0.0006    74.402 463.7114   True
     2    128  279.241 0.0003   84.5862 473.8957   True
     2    256  282.777 0.0002   88.1223 477.4317   True
     2    512 285.1642 0.0002   90.5095 479.8189   True
     2   1028 281.5844 0.0003   86.9297 476.2391   True
     4      8  65.4808 0.9906 -129.1739 260.1355  False
     4     16 127.7331 0.5491  -66.9216 322.3878  False
     4     32 172.8034 0.1328  -21.8513 367.4581  False
     4     64 200.3067 0.0378     5.652 394.9614   True
     4    128  210.491 0.0223   15.8363 405.1457   True
     4    256  214.027 0.0184   19.3723 408.6817   True
     4    512 216.4143 0.0161   21.7596  411.069   True
     4   1028 212.8345 0.0196   18.1798 407.4892   True
     8     16  62.2523 0.9937 -132.4024  256.907  False
     8     32 107.3226 0.7786  -87.3321 301.9773  False
     8     64 134.8259 0.4656  -59.8288 329.4807  False
     8    128 145.0102 0.3532  -49.6445 339.6649  False
     8    256 148.5462 0.3174  -46.1085 343.2009  False
     8    512 150.9335 0.2945  -43.7212 345.5882  False
     8   1028 147.3537 0.3293   -47.301 342.0084  False
    16     32  45.0703 0.9996 -149.5844  239.725  False
    16     64  72.5736 0.9798 -122.0811 267.2283  False
    16    128  82.7579 0.9498 -111.8968 277.4126  False
    16    256  86.2939 0.9343 -108.3608 280.9486  False
    16    512  88.6812 0.9222 -105.9735 283.3359  False
    16   1028  85.1014 0.9399 -109.5533 279.7561  False
    32     64  27.5033    1.0 -167.1514  222.158  False
    32    128  37.6876 0.9999 -156.9671 232.3423  False
    32    256  41.2236 0.9998 -153.4311 235.8783  False
    32    512  43.6109 0.9997 -151.0438 238.2656  False
    32   1028  40.0311 0.9999 -154.6236 234.6858  False
    64    128  10.1843    1.0 -184.4704  204.839  False
    64    256  13.7203    1.0 -180.9344  208.375  False
    64    512  16.1075    1.0 -178.5472 210.7622  False
    64   1028  12.5278    1.0 -182.1269 207.1825  False
   128    256    3.536    1.0 -191.1187 198.1907  False
   128    512   5.9232    1.0 -188.7315  200.578  False
   128   1028   2.3435    1.0 -192.3112 196.9982  False
   256    512   2.3872    1.0 -192.2675 197.0419  False
   256   1028  -1.1925    1.0 -195.8472 193.4622  False
   512   1028  -3.5798    1.0 -198.2345 191.0749  False
-------------------------------------------------------
