  Multiple Comparison of Means - Tukey HSD, FWER=0.05  
=======================================================
group1 group2 meandiff p-adj    lower    upper   reject
-------------------------------------------------------
     1      2  52.0447 0.9947 -114.0043 218.0937  False
     1      4 133.1036   0.25  -32.9454 299.1526  False
     1      8 216.1259 0.0017   50.0769 382.1749   True
     1     16 296.8975    0.0  130.8485 462.9466   True
     1     32 352.0276    0.0  185.9786 518.0766   True
     1     64 386.0496    0.0  220.0006 552.0986   True
     1    128 404.7681    0.0  238.7191 570.8171   True
     1    256 409.6276    0.0  243.5786 575.6766   True
     1    512 408.9214    0.0  242.8723 574.9704   True
     1   1028 407.0271    0.0  240.9781 573.0761   True
     2      4  81.0589 0.8844  -84.9901 247.1079  False
     2      8 164.0812 0.0559   -1.9678 330.1302  False
     2     16 244.8528 0.0002   78.8038 410.9018   True
     2     32 299.9829    0.0  133.9339 466.0319   True
     2     64 334.0049    0.0  167.9559 500.0539   True
     2    128 352.7234    0.0  186.6744 518.7724   True
     2    256 357.5828    0.0  191.5338 523.6318   True
     2    512 356.8766    0.0  190.8276 522.9256   True
     2   1028 354.9824    0.0  188.9334 521.0314   True
     4      8  83.0223 0.8677  -83.0267 249.0713  False
     4     16 163.7939 0.0568   -2.2551 329.8429  False
     4     32  218.924 0.0014    52.875  384.973   True
     4     64 252.9459 0.0001   86.8969  418.995   True
     4    128 271.6645    0.0  105.6154 437.7135   True
     4    256 276.5239    0.0  110.4749 442.5729   True
     4    512 275.8177    0.0  109.7687 441.8667   True
     4   1028 273.9235    0.0  107.8745 439.9725   True
     8     16  80.7716 0.8867  -85.2774 246.8206  False
     8     32 135.9017 0.2231  -30.1473 301.9507  False
     8     64 169.9237 0.0399    3.8747 335.9727   True
     8    128 188.6422 0.0123   22.5932 354.6912   True
     8    256 193.5016 0.0088   27.4526 359.5507   True
     8    512 192.7954 0.0093   26.7464 358.8444   True
     8   1028 190.9012 0.0106   24.8522 356.9502   True
    16     32  55.1301 0.9917 -110.9189 221.1791  False
    16     64   89.152 0.8074   -76.897 255.2011  False
    16    128 107.8706 0.5666  -58.1785 273.9196  False
    16    256   112.73  0.499   -53.319  278.779  False
    16    512 112.0238 0.5087  -54.0252 278.0728  False
    16   1028 110.1296 0.5351  -55.9194 276.1786  False
    32     64   34.022 0.9999  -132.027  200.071  False
    32    128  52.7405 0.9941 -113.3085 218.7895  False
    32    256  57.5999 0.9884 -108.4491 223.6489  False
    32    512  56.8937 0.9894 -109.1553 222.9427  False
    32   1028  54.9995 0.9919 -111.0495 221.0485  False
    64    128  18.7185    1.0 -147.3305 184.7675  False
    64    256   23.578    1.0  -142.471  189.627  False
    64    512  22.8718    1.0 -143.1772 188.9208  False
    64   1028  20.9775    1.0 -145.0715 187.0266  False
   128    256   4.8595    1.0 -161.1895 170.9085  False
   128    512   4.1533    1.0 -161.8958 170.2023  False
   128   1028    2.259    1.0   -163.79  168.308  False
   256    512  -0.7062    1.0 -166.7552 165.3428  False
   256   1028  -2.6004    1.0 -168.6494 163.4486  False
   512   1028  -1.8942    1.0 -167.9432 164.1548  False
-------------------------------------------------------
