  Multiple Comparison of Means - Tukey HSD, FWER=0.05  
=======================================================
group1 group2 meandiff p-adj    lower    upper   reject
-------------------------------------------------------
     1      2  53.6739 0.9907 -105.3869 212.7347  False
     1      4 138.6417 0.1514  -20.4191 297.7025  False
     1      8 228.6775 0.0003   69.6167 387.7383   True
     1     16 322.2267    0.0  163.1659 481.2875   True
     1     32 384.4985    0.0  225.4377 543.5592   True
     1     64 424.4025    0.0  265.3418 583.4633   True
     1    128 447.9561    0.0  288.8953 607.0169   True
     1    256 456.7803    0.0  297.7195 615.8411   True
     1    512 457.5802    0.0  298.5194  616.641   True
     1   1028 453.5038    0.0  294.4431 612.5646   True
     2      4  84.9678  0.813   -74.093 244.0286  False
     2      8 175.0036 0.0181   15.9428 334.0644   True
     2     16 268.5528    0.0   109.492 427.6136   True
     2     32 330.8245    0.0  171.7637 489.8853   True
     2     64 370.7286    0.0  211.6678 529.7894   True
     2    128 394.2822    0.0  235.2214  553.343   True
     2    256 403.1064    0.0  244.0456 562.1672   True
     2    512 403.9063    0.0  244.8455  562.967   True
     2   1028 399.8299    0.0  240.7691 558.8907   True
     4      8  90.0358 0.7526  -69.0249 249.0966  False
     4     16  183.585   0.01   24.5242 342.6458   True
     4     32 245.8568 0.0001    86.796 404.9175   True
     4     64 285.7608    0.0  126.7001 444.8216   True
     4    128 309.3144    0.0  150.2537 468.3752   True
     4    256 318.1386    0.0  159.0778 477.1994   True
     4    512 318.9385    0.0  159.8777 477.9993   True
     4   1028 314.8621    0.0  155.8014 473.9229   True
     8     16  93.5492 0.7065  -65.5116   252.61  False
     8     32 155.8209 0.0605   -3.2399 314.8817  False
     8     64  195.725 0.0041   36.6642 354.7858   True
     8    128 219.2786 0.0006   60.2178 378.3394   True
     8    256 228.1028 0.0003    69.042 387.1636   True
     8    512 228.9026 0.0003   69.8419 387.9634   True
     8   1028 224.8263 0.0004   65.7655 383.8871   True
    16     32  62.2717  0.972  -96.7891 221.3325  False
    16     64 102.1758 0.5844   -56.885 261.2366  False
    16    128 125.7294 0.2695  -33.3314 284.7902  False
    16    256 134.5536 0.1838  -24.5072 293.6144  False
    16    512 135.3534 0.1771  -23.7073 294.4142  False
    16   1028 131.2771  0.213  -27.7837 290.3379  False
    32     64  39.9041 0.9992 -119.1567 198.9649  False
    32    128  63.4577  0.968  -95.6031 222.5185  False
    32    256  72.2819 0.9248  -86.7789 231.3427  False
    32    512  73.0817 0.9196  -85.9791 232.1425  False
    32   1028  69.0054 0.9439  -90.0554 228.0662  False
    64    128  23.5536    1.0 -135.5072 182.6144  False
    64    256  32.3778 0.9999  -126.683 191.4386  False
    64    512  33.1776 0.9998 -125.8832 192.2384  False
    64   1028  29.1013    1.0 -129.9595 188.1621  False
   128    256   8.8242    1.0 -150.2366  167.885  False
   128    512    9.624    1.0 -149.4367 168.6848  False
   128   1028   5.5477    1.0 -153.5131 164.6085  False
   256    512   0.7999    1.0 -158.2609 159.8606  False
   256   1028  -3.2765    1.0 -162.3373 155.7843  False
   512   1028  -4.0763    1.0 -163.1371 154.9844  False
-------------------------------------------------------
