 Multiple Comparison of Means - Tukey HSD, FWER=0.05  
======================================================
group1 group2 meandiff p-adj   lower    upper   reject
------------------------------------------------------
     1      2    6.848    1.0 -45.4853  59.1814  False
     1      4  16.9191 0.9857 -37.1305  70.9688  False
     1      8  23.2818 0.9076 -30.7679  77.3314  False
     1     16  30.3388 0.6946 -23.7109  84.3885  False
     1     32  41.8097 0.3491 -15.7174  99.3367  False
     1     64  53.1223 0.1375  -7.6836 113.9282  False
     1    128  64.9559 0.1783  -12.667 142.5789  False
     1    256 260.1257    0.0 103.1256 417.1258   True
     2      4  10.0711 0.9996 -43.9785  64.1208  False
     2      8  16.4337 0.9882 -37.6159  70.4834  False
     2     16  23.4908 0.9032 -30.5589  77.5404  False
     2     32  34.9616 0.5964 -22.5654  92.4887  False
     2     64  46.2743 0.2883 -14.5316 107.0802  False
     2    128  58.1079 0.3096  -19.515 135.7308  False
     2    256 253.2777 0.0001  96.2776 410.2778   True
     4      8   6.3626    1.0 -49.3505  62.0757  False
     4     16  13.4196 0.9976 -42.2935  69.1328  False
     4     32  24.8905 0.9178 -34.2022  83.9832  False
     4     64  36.2032 0.6532  -26.086  98.4923  False
     4    128  48.0368 0.5922 -30.7535  126.827  False
     4    256 243.2066 0.0001  85.6261 400.7871   True
     8     16    7.057    1.0 -48.6561  62.7701  False
     8     32  18.5279 0.9856 -40.5648  77.6206  False
     8     64  29.8405 0.8437 -32.4486  92.1297  False
     8    128  41.6742 0.7583 -37.1161 120.4644  False
     8    256  236.844 0.0002  79.2635 394.4245   True
    16     32  11.4709 0.9995 -47.6218  70.5636  False
    16     64  22.7835 0.9628 -39.5056  85.0727  False
    16    128  34.6172 0.8976 -44.1731 113.4074  False
    16    256 229.7869 0.0004  72.2064 387.3674   True
    32     64  11.3126 0.9998 -54.0168  76.6421  False
    32    128  23.1463 0.9923 -58.0689 104.3614  False
    32    256 218.3161  0.001  59.5092 377.1229   True
    64    128  11.8336    1.0 -71.7361  95.4033  False
    64    256 207.0034 0.0026  46.9797 367.0272   True
   128    256 195.1698 0.0102  28.0304 362.3091   True
------------------------------------------------------
