 Multiple Comparison of Means - Tukey HSD, FWER=0.05  
======================================================
group1 group2 meandiff p-adj   lower    upper   reject
------------------------------------------------------
     1      2    4.826    1.0 -45.6057  55.2578  False
     1      4  11.2528 0.9986  -39.179  61.6845  False
     1      8  18.3645 0.9668 -32.8232  69.5523  False
     1     16  26.6947 0.7873 -25.3304  78.7199  False
     1     32  45.4549 0.2535 -12.6354 103.5452  False
     1     64  73.6962 0.0396   1.8947 145.4978   True
     1    128 233.8245 0.0003  76.5152 391.1339   True
     1    256 263.6215    0.0 106.3122 420.9308   True
     2      4   6.4268    1.0 -44.6819  57.5355  False
     2      8  13.5385 0.9957 -38.3164  65.3934  False
     2     16  21.8687  0.924 -30.8129  74.5504  False
     2     32  40.6289 0.4162 -18.0501  99.3079  False
     2     64  68.8702 0.0745  -3.4084 141.1489  False
     2    128 228.9985 0.0004  71.4708 386.5262   True
     2    256 258.7955    0.0 101.2678 416.3231   True
     4      8   7.1117    1.0 -44.7431  58.9666  False
     4     16   15.442 0.9907 -37.2397  68.1236  False
     4     32  34.2021 0.6497 -24.4769  92.8811  False
     4     64  62.4434 0.1475  -9.8352 134.7221  False
     4    128 222.5717 0.0007  65.0441 380.0994   True
     4    256 252.3687 0.0001   94.841 409.8964   True
     8     16   8.3302 0.9999 -45.0756  61.7361  False
     8     32  27.0904 0.8758 -32.2397  86.4204  False
     8     64  55.3317   0.29 -17.4765 128.1399  False
     8    128   215.46 0.0011  57.6887 373.2313   True
     8    256  245.257 0.0001  87.4856 403.0283   True
    16     32  18.7602 0.9859 -41.2938  78.8141  False
    16     64  47.0015 0.5258 -26.3978 120.4008  False
    16    128 207.1298 0.0022  49.0848 365.1748   True
    16    256 236.9267 0.0002  78.8817 394.9717   True
    32     64  28.2413 0.9644 -49.5746 106.0573  False
    32    128 188.3696 0.0093  28.2257 348.5136   True
    32    256 218.1666 0.0012  58.0226 378.3105   True
    64    128 160.1283 0.0663  -5.4829 325.7395  False
    64    256 189.9253 0.0126  24.3141 355.5364   True
   128    256   29.797    1.0 -187.039 246.6329  False
------------------------------------------------------
