 Multiple Comparison of Means - Tukey HSD, FWER=0.05  
======================================================
group1 group2 meandiff p-adj   lower    upper   reject
------------------------------------------------------
     1      2   5.5213    1.0   -39.01  50.0526  False
     1      4  12.2021 0.9949 -32.9113  57.3156  False
     1      8  19.0446 0.9257  -26.707  64.7962  False
     1     16  25.2266 0.7211  -20.525  70.9782  False
     1     32  29.0942 0.5629 -17.3602  75.5487  False
     1     64  36.0367   0.34 -13.0344  85.1078  False
     1    128  42.1604 0.2724 -12.3791  96.6999  False
     1    256  107.354  0.005  20.1666 194.5415   True
     2      4   6.6808 0.9999 -38.4326  51.7943  False
     2      8  13.5233 0.9907 -32.2283  59.2749  False
     2     16  19.7053 0.9109 -26.0463  65.4569  False
     2     32  23.5729 0.8027 -22.8815  70.0274  False
     2     64  30.5154 0.5725 -18.5557  79.5865  False
     2    128  36.6391 0.4649 -17.9004  91.1786  False
     2    256 101.8327 0.0098  14.6453 189.0202   True
     4      8   6.8424 0.9999 -39.4759  53.1608  False
     4     16  13.0244 0.9933  -33.294  59.3428  False
     4     32  16.8921  0.968 -30.1206  63.9048  False
     4     64  23.8345 0.8462 -25.7655  73.4346  False
     4    128  29.9583 0.7345 -25.0576  84.9741  False
     4    256  95.1519 0.0222   7.6657 182.6381   True
     8     16    6.182    1.0 -40.7581  53.1221  False
     8     32  10.0497 0.9991 -37.5758  57.6751  False
     8     64  16.9921 0.9777  -33.189  67.1732  False
     8    128  23.1158 0.9258 -32.4245  78.6561  False
     8    256  88.3095 0.0476   0.4925 176.1264   True
    16     32   3.8677    1.0 -43.7578  51.4931  False
    16     64  10.8101  0.999  -39.371  60.9912  False
    16    128  16.9338 0.9886 -38.6065  72.4741  False
    16    256  82.1275 0.0865  -5.6895 169.9444  False
    32     64   6.9425    1.0 -43.8803  57.7652  False
    32    128  13.0662 0.9982 -43.0545  69.1868  False
    32    256  78.2598 0.1255  -9.9254  166.445  False
    64    128   6.1237    1.0 -52.1815  64.4289  False
    64    256  71.3173 0.2364 -18.2739 160.9086  False
   128    256  65.1936    0.4 -27.5057  157.893  False
------------------------------------------------------
